rank,typeName,num,url
-1,#同球共济和合共生#,-1,https://s.weibo.com/weibo?q=%23同球共济和合共生%23,阅读量1677.3万,讨论量560
0,还有8天刑满释放男子被改判死缓,1142959,https://s.weibo.com/weibo?q=%23还有8天刑满释放男子被改判死缓%23,阅读量9857.8万,讨论量9267
1,春晚,680627,https://s.weibo.com/weibo?q=%23春晚%23,阅读量1575.3亿,讨论量3.9亿
2,240小时过境免签超City,674963,https://s.weibo.com/weibo?q=%23240小时过境免签超City%23,阅读量1082.2万,讨论量1738
2,星品影响力评估体系正式发布,671018,https://s.weibo.com/weibo?q=%23星品影响力评估体系正式发布%23,阅读量191.3万,讨论量3144
3,2025年总台春晚分会场发布,670321,https://s.weibo.com/weibo?q=%232025年总台春晚分会场发布%23,阅读量953.4万,讨论量2262
4,微信蓝包,534274,https://s.weibo.com/weibo?q=%23微信蓝包%23,无,无
5,圣诞树,493903,https://s.weibo.com/weibo?q=%23圣诞树%23,无,无
6,景区回应李现在虎跳峡举国旗,473884,https://s.weibo.com/weibo?q=%23景区回应李现在虎跳峡举国旗%23,阅读量1912.3万,讨论量5195
7,苹果,396013,https://s.weibo.com/weibo?q=%23苹果%23,无,无
8,官方通报网红狼被大货车不慎压死,385108,https://s.weibo.com/weibo?q=%23官方通报网红狼被大货车不慎压死%23,阅读量2033万,讨论量2828
9,甄嬛传魔改变枪战片涉嫌侵权,377960,https://s.weibo.com/weibo?q=%23甄嬛传魔改变枪战片涉嫌侵权%23,阅读量168.1万,讨论量369
10,何炅 最怕突然的沉默,372668,https://s.weibo.com/weibo?q=%23何炅 最怕突然的沉默%23,无,无
11,当网红狼死在车轮下你还觉得好笑吗,371729,https://s.weibo.com/weibo?q=%23当网红狼死在车轮下你还觉得好笑吗%23,阅读量3312.7万,讨论量5041
12,妻儿车祸去世他义务指挥交通35年,360842,https://s.weibo.com/weibo?q=%23妻儿车祸去世他义务指挥交通35年%23,阅读量406.1万,讨论量347
13,蒋欣回应蒋欣在哪里,344355,https://s.weibo.com/weibo?q=%23蒋欣回应蒋欣在哪里%23,阅读量1279.9万,讨论量8094
14,长津湖,289811,https://s.weibo.com/weibo?q=%23长津湖%23,无,无
15,田曦薇李一桐你们根本没喝中药,269498,https://s.weibo.com/weibo?q=%23田曦薇李一桐你们根本没喝中药%23,无,无
16,女子发现房顶小孔竟是针孔摄像头,252596,https://s.weibo.com/weibo?q=%23女子发现房顶小孔竟是针孔摄像头%23,阅读量2501.6万,讨论量3404
17,王楚钦说巴黎没有达到预期,213526,https://s.weibo.com/weibo?q=%23王楚钦说巴黎没有达到预期%23,阅读量870.8万,讨论量2491
18,网剧冬至好甜,213002,https://s.weibo.com/weibo?q=%23网剧冬至好甜%23,无,无
19,近三年净水器抽检合格不到7成,211800,https://s.weibo.com/weibo?q=%23近三年净水器抽检合格不到7成%23,阅读量45万,讨论量60
20,优酷过审鬼才,210907,https://s.weibo.com/weibo?q=%23优酷过审鬼才%23,阅读量4099.6万,讨论量8257
21,女子做全裸SPA遭老板偷拍,210142,https://s.weibo.com/weibo?q=%23女子做全裸SPA遭老板偷拍%23,无,无
22,徐冬冬大大方方的医美,209461,https://s.weibo.com/weibo?q=%23徐冬冬大大方方的医美%23,无,无
23,檀健次开年刊24小时战报,208682,https://s.weibo.com/weibo?q=%23檀健次开年刊24小时战报%23,阅读量156.5万,讨论量7921
24,京城大师赛,207601,https://s.weibo.com/weibo?q=%23京城大师赛%23,阅读量6.4亿,讨论量32.3万
25,猎罪2一个案子集齐贪嗔痴,206945,https://s.weibo.com/weibo?q=%23猎罪2一个案子集齐贪嗔痴%23,无,无
26,张颂文回应新剧演技争议,205279,https://s.weibo.com/weibo?q=%23张颂文回应新剧演技争议%23,阅读量1677.8万,讨论量2738
27,TES对战iG,205080,https://s.weibo.com/weibo?q=%23TES对战iG%23,阅读量2.9亿,讨论量3.1万
28,平安夜,189330,https://s.weibo.com/weibo?q=%23平安夜%23,阅读量59.2亿,讨论量804.3万
29,老师背着4个月女儿上课,184993,https://s.weibo.com/weibo?q=%23老师背着4个月女儿上课%23,阅读量453万,讨论量312
30,曾舜晞时装男士封面,178583,https://s.weibo.com/weibo?q=%23曾舜晞时装男士封面%23,阅读量191.7万,讨论量8379
31,高校回应安置男博士配偶工作,173577,https://s.weibo.com/weibo?q=%23高校回应安置男博士配偶工作%23,阅读量201万,讨论量140
32,张桂梅的学生已成教师医生护士,173165,https://s.weibo.com/weibo?q=%23张桂梅的学生已成教师医生护士%23,阅读量531.4万,讨论量1103
33,年度报告,169839,https://s.weibo.com/weibo?q=%23年度报告%23,无,无
34,动物医院医生谈希林娜依高拖行小狗,165409,https://s.weibo.com/weibo?q=%23动物医院医生谈希林娜依高拖行小狗%23,阅读量1246.1万,讨论量920
35,孟子义是李昀锐的特笑药,154868,https://s.weibo.com/weibo?q=%23孟子义是李昀锐的特笑药%23,无,无
36,孩子随口一句话男子把家砸烂,145310,https://s.weibo.com/weibo?q=%23孩子随口一句话男子把家砸烂%23,阅读量862.2万,讨论量1018
37,我的微博播报,133530,https://s.weibo.com/weibo?q=%23我的微博播报%23,阅读量28.2亿,讨论量784.6万
38,圣诞美甲,132404,https://s.weibo.com/weibo?q=%23圣诞美甲%23,无,无
39,吃砂糖橘真的会促进肿瘤生长吗,125647,https://s.weibo.com/weibo?q=%23吃砂糖橘真的会促进肿瘤生长吗%23,阅读量2599.3万,讨论量2767
40,美国航空公司全美停飞,118658,https://s.weibo.com/weibo?q=%23美国航空公司全美停飞%23,阅读量49万,讨论量36
41,梁永棋 平安夜当平民,115531,https://s.weibo.com/weibo?q=%23梁永棋 平安夜当平民%23,无,无
42,孟子义想不到吧我还有图,114520,https://s.weibo.com/weibo?q=%23孟子义想不到吧我还有图%23,阅读量678.1万,讨论量796
43,不是狼想当网红而是有人想赚流量,106905,https://s.weibo.com/weibo?q=%23不是狼想当网红而是有人想赚流量%23,阅读量310万,讨论量161
44,长安二十四计,105523,https://s.weibo.com/weibo?q=%23长安二十四计%23,阅读量5526.1万,讨论量129.1万
45,宋亚轩刘耀文张真源狗狗大片,103183,https://s.weibo.com/weibo?q=%23宋亚轩刘耀文张真源狗狗大片%23,阅读量176万,讨论量1881
46,致敬长津湖战役的英雄,97121,https://s.weibo.com/weibo?q=%23致敬长津湖战役的英雄%23,阅读量145.3万,讨论量1176
47,张桂梅对毕业生说老师们好,94044,https://s.weibo.com/weibo?q=%23张桂梅对毕业生说老师们好%23,阅读量284.3万,讨论量568
48,投喂野生动物造成严重后果或担刑责,93792,https://s.weibo.com/weibo?q=%23投喂野生动物造成严重后果或担刑责%23,阅读量289.3万,讨论量61
49,steam冬促,93291,https://s.weibo.com/weibo?q=%23steam冬促%23,无,无
